Name,Health,Damage,Attack Speed,Block Chance,Crit Chance,Dig Count,Rarity,Description
Depleted,35,7,15,30,0,5,Common,Legally distinct sponge character[High block chance
Driftwood,20,4,11,5,25,5,Common,Experienced grave diver[High crit chance
Dud,150,100,200,0,0,10,Common,It probably wont explode[Probably
Goliath,50,25,38,0,25,10,Common,Very slow attack speed[Very high damage
Horseshoe,35,5,20,25,5,4,Common,Not the horse kind
Mollusk,25,6,30,5,70,5,Common,Nothing to see here[Very high crit chance
Puffer,35,3,20,50,40,4,Common,Hes just nervous[High block chance
Stalker,15,3,10,0,70,3,Common,You wont see it coming[High crit chance
Trout,30,5,20,5,30,5,Common,Tried to warn you about the hook[High crit chance
Worm,25,6,30,20,40,4,Common,"What a cool, and not scary guy![High crit chance[Slow attack speed"
Angle,30,10,30,5,30,5,Rare,Don't be so obtuse[Very high crit damage
Chef,10,2,8,5,5,2,Rare,Youre telling me a shrimp fried this rice?
Destitute,35,5,20,30,20,5,Rare,A barnacles best friend[High block chance
Diver,30,15,30,15,5,7,Rare,High damage[Slow attack speed
Hermit,40,10,25,15,15,5,Rare,Run of the mill crustacean
Jelly,30,5,14,5,40,5,Rare,Definitely not named after what its made of[High crit chance
Python,20,3,20,5,95,3,Rare,Very high crit chance
David,40,10,20,21,0,8,Epic,I wonder whos inside[High block chance
Dutchman,30,18,22,5,40,7,Epic,Legally distinct ghost pirate[High crit chance[High damage
Moai,50,2,30,50,5,6,Epic,He a rock bro[Very high block chance
Shoctovel,25,2,5,5,10,6,Epic,Very fast attack speed
Spliffy,25,5,20,5,40,5,Epic,He just like me for real[High crit chance
Glumpis,25,7,15,20,40,3,Legendary,Games[High crit chance
Pirat,20,5,9,15,20,5,Legendary,Get it[Fast attack speed
